area_name,name
Москва,33.83
Санкт-Петербург,10.11
Минск,3.51
Новосибирск,2.3800000000000003
Екатеринбург,2.22
Нижний Новгород,2.07
Киев,2.03
Алматы,2.02
Казань,1.9900000000000002
Воронеж,1.6199999999999999
Другие,38.22
