area_name,name
Москва,35.199999999999996
Санкт-Петербург,13.44
Новосибирск,4.41
Киев,3.18
Минск,3.0700000000000003
Нижний Новгород,2.6599999999999997
Екатеринбург,2.64
Казань,2.5
Ростов-на-Дону,1.78
Самара,1.52
Другие,29.60000000000001
