year,salary
2003,24160
2004,36950
2005,37771
2006,46597
2007,56128
2008,56049
2009,53733
2010,53336
2011,56950
2012,63001
2013,69444
2014,68978
2015,76224
2016,83713
2017,90322
2018,105262
2019,107639
2020,117709
2021,139692
2022,159038
2023,160650
2024,177963
